accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,imu_time,fix_type,pdop,num_svs,latitude,longitude,altitude,course_deg,speed,time_of_day,roll,pitch,yaw,baro_pressure_mbar,baro_temp_c,mag_x_cal,mag_y_cal,mag_z_cal
5.0928187,-5.7299547,-6.079922,0.016770838,0.0010939837,0.006197922,380.0,92.0,151.0,3123349500.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.174015,31.358694,143.77492,970.64655,27.71859,-492.8504,45.042816,349.3177
5.113816,-5.7295713,-6.081954,3.7252903e-9,0.06963563,0.005468756,377.0,87.0,151.0,3124661000.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17577,31.360641,143.75832,970.64655,27.71859,-487.21387,35.586063,349.344
5.120593,-5.715628,-6.1033764,0.01713542,0.03390646,0.022604167,372.0,91.0,153.0,3125972500.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.176083,31.362,143.73233,970.64655,27.71859,-478.21924,42.901226,353.2157
5.108396,-5.7064786,-6.104591,-0.00036457926,-0.0014580488,0.040104166,378.0,93.0,147.0,3127283700.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.175426,31.36221,143.7322,970.64655,27.71859,-489.29294,46.83508,341.7484
5.1142673,-5.7452445,-6.093958,3.7252903e-9,0.015312672,0.005468756,385.0,91.0,149.0,3128595200.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17696,31.362827,143.73645,970.64655,27.71859,-501.94843,43.339684,345.45312
5.0746326,-5.727634,-6.0763893,-0.017499996,-0.01859355,-0.029531248,381.0,99.0,144.0,3129906700.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.177505,31.362259,143.7551,970.6478,27.71859,-495.0021,58.155384,336.02664
5.0726504,-5.7219734,-6.121933,3.7252903e-9,-0.034635305,0.0051041692,381.0,88.0,149.0,3131218200.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17625,31.36008,143.7478,970.6478,27.71859,-494.55942,37.58982,345.49692
5.1187134,-5.707036,-6.123435,0.0003645867,0.018229246,0.005468756,381.0,87.0,151.0,3132529400.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.174667,31.361118,143.73529,970.6478,27.71859,-494.4995,35.723892,349.2931
5.112418,-5.683648,-6.1097846,3.7252903e-9,0.0010938644,0.0051041692,376.0,96.0,149.0,3133841000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.172443,31.362356,143.72952,970.6478,27.71859,-485.72806,52.38294,345.57956
5.106615,-5.744866,-6.113673,0.0003645867,-0.03354168,0.021875001,380.0,94.0,146.0,3135152400.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.172844,31.3613,143.73601,970.6478,27.71859,-492.98294,48.772293,339.82605
5.069461,-5.744292,-6.0850596,0.01713542,-0.016406178,0.021510415,375.0,96.0,152.0,3136463600.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.174965,31.35936,143.72343,970.6486,27.725647,-483.86847,52.355606,351.29013
5.0898495,-5.7311864,-6.0927005,0.033906255,-0.03390622,0.0036458299,386.0,93.0,149.0,3137775000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.176105,31.358479,143.73045,970.6486,27.725647,-503.83875,47.115494,345.44516
5.1090145,-5.7167807,-6.12399,-0.00072916225,0.052135587,-0.030989587,378.0,99.0,152.0,3139086600.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.1749,31.359808,143.72478,970.6486,27.725647,-489.43607,58.07101,351.25906
5.1090946,-5.743617,-6.11726,-0.00036457926,0.05031264,-0.029895835,375.0,100.0,146.0,3140398000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17528,31.360695,143.73125,970.6486,27.725647,-484.08267,59.82406,339.90393
5.1364784,-5.704557,-6.0909967,-0.01786458,0.049583435,0.0047395825,378.0,90.0,148.0,3141709300.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.174927,31.363743,143.72578,970.6486,27.725647,-489.17682,41.22542,343.64056
5.119184,-5.7128367,-6.091336,-0.00072916225,-0.0036457777,0.004374996,378.0,90.0,148.0,3143020800.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17486,31.36504,143.71974,970.64417,27.725647,-489.17682,41.22542,343.64056
5.107108,-5.6703653,-6.069644,-0.034999996,0.013489604,-0.030260421,388.0,90.0,145.0,3144332300.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.172916,31.367752,143.73457,970.64417,27.725647,-507.42908,41.562878,337.81543
5.080877,-5.692972,-6.0916877,0.0003645867,-0.0036457777,0.0047395825,379.0,92.0,150.0,3145643500.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17193,31.367567,143.72702,970.64417,27.725647,-491.04172,45.00598,347.43112
5.1135097,-5.708572,-6.104873,0.0003645867,0.030989647,-0.01203125,377.0,88.0,148.0,3146955000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.171227,31.36904,143.71703,970.64417,27.725647,-487.2865,37.44961,343.64853
5.1040225,-5.718554,-6.1050744,-0.03427083,-0.0043748617,-0.010937497,378.0,92.0,145.0,3148266500.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.170067,31.369343,143.72005,970.64417,27.725647,-489.28394,44.95965,337.94745
5.0869923,-5.6783614,-6.1343856,-0.03317708,0.01276052,-0.026614584,387.0,98.0,146.0,3149578000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.16573,31.36946,143.73952,970.64294,27.71463,-505.8706,56.4962,339.74646
5.0835733,-5.7187915,-6.1558847,0.0025520865,-0.02078116,0.00838542,389.0,89.0,148.0,3150889200.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.1631,31.367226,143.74693,970.64294,27.71463,-509.17786,39.733784,343.49817
5.069647,-5.7213364,-6.091989,-0.03171875,-0.020416617,-0.009114578,377.0,82.0,145.0,3152200700.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.16268,31.365887,143.73709,970.64294,27.71463,-487.11795,26.218431,337.93643
5.1351705,-5.738663,-6.0465055,0.0032812525,-0.0032811165,0.007656254,380.0,88.0,145.0,3153512200.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.16606,31.368315,143.74055,970.64294,27.71463,-492.7889,37.54586,337.9125
5.121942,-5.70229,-6.072324,0.020052087,-0.019687414,0.006562501,377.0,92.0,149.0,3154823400.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.16672,31.370064,143.73274,970.642,27.71463,-487.41162,44.934692,345.5573
5.125992,-5.7459383,-6.055607,0.019687504,0.032083392,-0.028072916,385.0,90.0,152.0,3156135000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.1703,31.372635,143.72955,970.642,27.71463,-501.87576,41.476128,351.1486
5.1067634,-5.7412987,-6.0954447,0.0021875035,0.013854146,0.006927088,381.0,90.0,145.0,3157446400.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17166,31.372799,143.73595,970.642,27.71463,-494.67923,41.32167,337.9045
5.1133814,-5.726036,-6.0533953,0.0018229205,0.030624986,0.023333333,383.0,88.0,147.0,3158758000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.17443,31.374502,143.73936,970.642,27.71463,-498.22766,37.653988,341.6729
5.0597095,-5.715722,-6.0857954,0.018593755,-0.021510482,0.0051041692,377.0,93.0,150.0,3160069000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.174973,31.37266,143.73015,970.642,27.71463,-487.43335,46.807743,347.45895
5.0728984,-5.70823,-6.0893073,0.0010937545,-0.021875024,-0.012395829,380.0,98.0,149.0,3161380600.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.174526,31.371761,143.73335,970.642,27.71463,-493.08258,56.262123,345.5334
5.102698,-5.709436,-6.057014,0.0010937545,-0.020416737,-0.04630208,389.0,84.0,145.0,3162692000.0,NoFix,9,0,0.0,0.0,0,0.0,0.0,0,43.175293,31.37342,143.74298,970.642,27.714912,-509.04376,30.373278,337.78845
5.0666866,-5.739278,-6.111245,0.00036458857,-0.019322991,-0.028437495,387.0,95.0,149.0,3164003300.0,NoFix,11,0,0.0,0.0,0,0.0,0.0,0,43.175217,31.371395,143.75298,970.642,27.714912,-505.72906,50.891304,345.43716
5.0672965,-5.721594,-6.133807,-0.0003645774,0.06781244,-0.02770833,379.0,90.0,151.0,3165314800.0,NoFix,11,0,0.0,0.0,0,0.0,0.0,0,43.173965,31.370476,143.74089,970.642,27.714912,-490.96005,41.267006,349.32565
5.0868096,-5.695983,-6.089293,-0.0010937434,-0.0021874905,-0.009479158,385.0,94.0,150.0,3166626300.0,NoFix,11,0,0.0,0.0,0,0.0,0.0,0,43.17308,31.370743,143.7445,970.642,27.714912,-502.03906,48.95408,347.3595
5.0831513,-5.7008615,-6.1100254,-0.0018229093,-0.0025520325,0.008385427,381.0,90.0,148.0,3167937800.0,NoFix,11,0,0.0,0.0,0,0.0,0.0,0,43.17163,31.370047,143.74214,970.642,27.714912,-494.64105,41.328796,343.60236
